Commit,Message,Files_Changed,File_Summary
51ff9fc,docs: e komutu ve ERR bayragi standardini 4 hat sprintine ac,8,A	Kod gercekliginin Mimari Sistemi.md | M	MASTER_TAKIP_DOKUMANI_V31.md | A	UXM_V31_Kod_Belge_Matris_Paketi/SPRINT_1_E_ERR_STANDARTLASMA_PLANI.md | A	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_KOD_BELGE_MATRIS_RAPORU.md | A	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv | A	UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/test_matrisi.csv | A	servis komutlari.md | M	tests/UX-MINIMA x64 V3.1 Tasar#U0131m Belgesi.md
47e4625,docs: tasarim ve ide notlarindaki eski toolchain adlarini hizala,3,M	ide/uxminima-vscode/ide_okubeni.md | M	ux_minimax_ide_tasarimi_dusuncesi.md | M	yeni tasarim eksiklikler.md
5e9645f,docs: kalan eski compiler ve tests_full referanslarini temizle,2,M	ux_minima_IDE_vscode.md | M	ux_minima_full v31.md
87c5e44,docs: belge akisini kod gercegine gore yeniden duzenle,5,M	KULLANIM_KILAVUZU_BIRLESIK_V31.md | M	README.md | M	uX_Minima_Kullanim Klavuzu.md | M	ux_minima_IDE_vscode.md | M	ux_minima_full v31.md
e630f8b,docs: UX-MAT V1 belgelerini dogru yerlere yaz,3,M	uX_Minima_Kullanim Klavuzu.md | M	ux_minima_IDE_vscode.md | M	ux_minima_full v31.md
b6959ce,"feat(matrix): UX-MAT V1 tam entegrasyon - runtime, derleyici, lib, testler ve dokumantasyon",14,A	lib/ux_mat_v1.uxm | A	math_extensions/compiler/arge_parse_matrix_additions.bas | A	math_extensions/lib/ux_mat_v1.uxm | A	math_extensions/runtime/runtime_matrix_services.bas | A	tests_matrix/_tmp_det_debug.uxm | A	tests_matrix/test_matrix01_init_set_print.uxm | A	tests_matrix/test_matrix02_add_2x2.uxm | A	tests_matrix/test_matrix03_mul_2x2.uxm
e83f56a,ide internal parser: D@T adresleme ailesi ve @!N host-meta destegi eklendi,1,M	ide/uxminima-vscode/src/uxmInterpreter.ts
05631a1,"FP/matematik/turev/integral tam entegrasyon: UX-FP V1 runtime, polinom turev-integral, sayisal turev-integral, 4-bit CPU ve YSA testleri, VS Code eklenti guncellemesi",36,M	.gitignore | D	ASM | M	ide/uxminima-vscode/.github/copilot-instructions.md | M	ide/uxminima-vscode/README.md | A	ide/uxminima-vscode/docs/UXM31_FINAL_ARGE_COMPILER.md | A	ide/uxminima-vscode/docs/UXM_FINAL_IDE_USAGE.md | A	ide/uxminima-vscode/examples/dynamic_data_address.uxm | A	ide/uxminima-vscode/examples/final_probe.uxm
3b157ad,master takip ve belge-kod matrisi x64 test ve release gercekligine guncellendi,2,M	BELGE_KOD_OK_MATRISI.md | M	MASTER_TAKIP_DOKUMANI_V31.md
7b870ff,vscode workspace ayarlari eklendi ve x64 toolchain yolu sabitlendi,1,A	.vscode/settings.json
a7f6107,"x64 toolchain sabitlendi, VS Code eklentisi native build duzeltildi ve test beklentileri kod gercekligine esitlendi",9,M	README.md | M	build_all.bat | M	build_one.bat | M	ide/uxminima-vscode/package.json | M	ide/uxminima-vscode/src/toolchain.ts | M	runtime/uxm31_runtime_fb_full.bas | M	tests/test32_wild_layout_change.uxm | M	uxm31_runtime_fb.bas
1fab05c,"kilavuz yerlesimi duzeltildi, uxm.exe adlandirmasi yapildi ve D@T ile @!N aktif derleyiciye eklendi",9,M	BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md | A	BELGE_KOD_OK_MATRISI.md | M	KULLANIM_KILAVUZU_BIRLESIK_V31.md | M	TEKNIK_NOT_VE_EKLENTI_CALISTIRMA.md | M	build_all.bat | M	build_one.bat | M	ide/uxminima-vscode/package.json | M	ide/uxminima-vscode/src/toolchain.ts
e6fe13f,birlesik kullanim kilavuzu olusturuldu ve guncel degisiklikler entegre edildi,2,A	KULLANIM_KILAVUZU_BIRLESIK_V31.md | M	MASTER_TAKIP_DOKUMANI_V31.md
5e00976,master takip dokumani olusturuldu ve belge hiyerarsisi tekillestirildi,4,M	BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md | M	DOKUMAN_ENVANTERI.md | A	MASTER_TAKIP_DOKUMANI_V31.md | M	README.md
77eaec8,belge kopyalari eklendi ve belgede-olup-kodda-olmayanlar raporu cikartildi,14,A	BELGEDE_OLUP_KODDA_OLMAYANLAR_RAPORU.md | A	BELGE_KOPYALARI/README.md | A	BELGE_KOPYALARI/bilgi.md | A	BELGE_KOPYALARI/gercek_durum.md | A	BELGE_KOPYALARI/karsilastirma v2.md | A	BELGE_KOPYALARI/kullanma klavuzu genisletme.md | A	BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md | A	BELGE_KOPYALARI/ux_minima_IDE_vscode.md
d5afc7a,"ilk kurulum: calisan derleyici, ide eklentisi ve klasor README dokumantasyonu",141,A	.gitignore | A	ANALIZ_KARSILASTIRMA.md | A	ANALIZ_anahtar_kelime_ham.csv | A	ANALIZ_anahtar_kelime_ozet.csv | A	ANALIZ_eksik_referanslar.csv | A	ANALIZ_referans_dogrulama.csv | A	ANALIZ_referanslar.csv | A	ASM
